ALEKO;AUTOMOVIL;2141 1.6 MT 1600CC TAXI;Publico;12200000;true;1570;5;GSL
AMERICAN MOTOR;AUTOMOVIL;WRANGLER 4.2 MT 4200CC CAB;Particular;72400000;true;2400;5;GSL
AMERICAN MOTOR;AUTOMOVIL;WRANGLER 4.2 MT 2500CC CARPADO;Particular;76000000;true;2400;5;GSL
AMERICAN MOTOR;AUTOMOVIL;EAGLE SUMMIT AT 2400CC LX 4P;Particular;43800000;true;2351;5;GSL
BAJAJ;AUTOMOVIL;QUTE 200 MT 200CC;Particular;23900000;true;2017;4;GSL
BAJAJ;MOTOCICLETA;PICK-UP VAN 150 MT 150CC;Particular;8800000;true;146;2;GSL
BAJAJ;MOTOCICLETA;PICK-UP VAN 175 MT 175CC;Particular;9400000;true;174;3;GSL
BAJAJ;MOTOCICLETA;PICK-UP VAN 400 MT 400CC DSL;Particular;11800000;true;417;3;GSL
BAJAJ;MOTOCICLETA;CAMELLITO FURGON [ASL] MT 175CC;Particular;12300000;true;174;3;GSL
BAJAJ;MOTOCICLETA;CAMELLITO FURGON MT 175CC;Particular;10200000;true;174;3;GSL
BAJAJ;MOTOCICLETA;CAMELLITO CHASIS MT 175CC;Particular;7800000;true;174;1;GSL
BAJAJ;MOTOCICLETA;CAMELLITO ESTACAS MT 175CC;Particular;9300000;true;174;1;GSL
BAJAJ;MOTOCICLETA;CAMELLITO ESTACAS ALUMINIO MT 175CC;Particular;11400000;true;174;1;GSL
BAJAJ;MOTOCICLETA;CAMELLITO FURGON ALUMINIO MT 175CC;Particular;10200000;true;174;1;GSL
BAJAJ;MOTOCICLETA;CAMELLITO REPARTO MT 175CC;Particular;9700000;true;174;1;GSL
BAJAJ;MOTOCICLETA;PICK-UP VAN 450 MT 450CC DSL;Particular;11500000;true;447;2;GSL
BAJAJ;MOTOCICLETA;CAMELLITO RE600 FURGON [ASL] MT 448CC DSL;Particular;14900000;true;416;2;DSL
BAJAJ;MOTOCICLETA;CAMELLITO RE205 D FURGON MT 199CC;Particular;15300000;true;199;2;GSL
BAJAJ;MOTOCICLETA;RE MAXIMA CARGO PLATON MT 236CC;Particular;18100000;true;236;2;GSL
BAJAJ;MOTOCICLETA;RE MAXIMA CARGO FURGON [ASL] MT 236CC;Particular;22800000;true;236;2;GSL
BAJAJ;MOTOCICLETA;TORITO RE205 D FURGON MT 199CC;Particular;21000000;true;199;2;GSL
BAJAJ;MOTOCICLETA;RE MAXIMA CARGO FURGON MT 236CC;Particular;28100000;true;236;2;GSL
BAJAJ;MOTOCICLETA;CAMELLITO WILLYS MT 175CC;Particular;10500000;true;174;3;GSL
BAJAJ;MOTOCICLETA;CAMELLITO CHIVA MT 175CC;Particular;12300000;true;174;3;GSL
BAJAJ;MOTOCICLETA;CAMELLITO RE205 D C. ESPECIAL MT 199CC;Particular;9300000;true;199;4;GSL
BAJAJ;MOTOCICLETA;CAMELLITO RE205 D WILLIS MT 199CC;Particular;10500000;true;199;4;GSL
BAJAJ;MOTOCICLETA;CAMELLITO RE205 D BASICO MT 199CC;Particular;8700000;true;199;4;GSL
BAJAJ;MOTOCICLETA;TORITO RE205 D BASICO MT 199CC;Particular;15500000;true;199;4;GSL
BAJAJ;MOTOCICLETA;CAMELLITO 175 MT 175CC;Particular;9400000;true;175;3;GSL
BAJAJ;MOTOCICLETA;PULSAR 200 RS MT 200CC;Particular;11500000;false;200;2;GSL
BAJAJ;MOTOCICLETA;VICTORY FURAX MT 150CC;Particular;6700000;true;150;2;GSL
BAJAJ;MOTOCICLETA;SUMA 80 MT 80CC 2T;Particular;2800000;false;80;2;GSL
BAJAJ;MOTOCICLETA;SUNNY 80 MT 80CC;Particular;2700000;false;80;2;GSL
BAJAJ;MOTOCICLETA;MAX 100 MT 100CC;Particular;3000000;false;96;2;GSL
BAJAJ;MOTOCICLETA;PLUS POWER 150 AT 150CC;Particular;4800000;false;150;2;GSL
BAJAJ;MOTOCICLETA;ZIP 80 AT 80CC;Particular;2900000;false;80;2;GSL
BAJAJ;MOTOCICLETA;PLUS CLASSIC 150 MT 150CC;Particular;5300000;false;150;2;GSL
BAJAJ;MOTOCICLETA;LEGEND 150 MT 150CC;Particular;4400000;false;145;2;GSL
BAJAJ;MOTOCICLETA;BRAVO 145 MT 145CC;Particular;4700000;false;145;2;GSL
BAJAJ;MOTOCICLETA;SPIRIT 60 AT 60CC;Particular;2400000;false;60;2;GSL
BAJAJ;MOTOCICLETA;NXT 150 MT 150CC;Particular;4700000;false;145;2;GSL
BAJAJ;MOTOCICLETA;KTZ 100 MT 100CC;Particular;2900000;false;100;2;GSL
BAJAJ;MOTOCICLETA;KB 125 MT 125CC;Particular;2700000;false;125;2;GSL
BAJAJ;MOTOCICLETA;BOXER CT100 MT 100CC;Particular;4300000;true;99;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 180 MT 180CC;Particular;4300000;true;178;2;GSL
BAJAJ;MOTOCICLETA;AVANTI 90 MT 90CC;Particular;2100000;true;90;2;GSL
BAJAJ;MOTOCICLETA;CALIBER II 115 MT 115CC;Particular;3100000;true;112;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER [1] 125 MT 125CC;Particular;3300000;true;124;2;GSL
BAJAJ;MOTOCICLETA;PULSAR II 180 MT 180CC;Particular;4800000;true;178;2;GSL
BAJAJ;MOTOCICLETA;PLATINO 100 MT 100CC;Particular;3400000;true;99;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER [2] SUPREME MT 135CC;Particular;3600000;true;134;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER [2] SPORT MT 135CC;Particular;3500000;true;134;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 200 MT 200CC;Particular;4500000;true;198;2;GSL
BAJAJ;MOTOCICLETA;XCD 125 MT 125CC;Particular;3900000;true;124;2;GSL
BAJAJ;MOTOCICLETA;PULSAR UG MT 180CC;Particular;6000000;true;179;2;GSL
BAJAJ;MOTOCICLETA;BOXER BM CLASSIC [1] MT 100CC;Particular;2600000;false;99;2;GSL
BAJAJ;MOTOCICLETA;PLATINO 125 MT 125CC;Particular;2800000;true;125;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER [2] 100 MT 100CC;Particular;3900000;false;94;2;GSL
BAJAJ;MOTOCICLETA;PLATINO 125 5S MT 125CC;Particular;3000000;true;125;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 220 F MT 220CC;Particular;6600000;true;220;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 135 LS MT 135CC;Particular;5300000;true;134;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 220 SPORT MT 220CC;Particular;7000000;true;220;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER [2] 125 MT 125CC;Particular;4000000;false;124;2;GSL
BAJAJ;MOTOCICLETA;BOXER BM MT 150CC;Particular;3600000;false;145;2;GSL
BAJAJ;MOTOCICLETA;BOXER BM CLASSIC [2] MT 100CC;Particular;3000000;false;94;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER [3] 125 ST MT 125CC;Particular;5000000;false;125;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 200 NS MT 200CC;Particular;9000000;false;199;2;GSL
BAJAJ;MOTOCICLETA;AVENGER 220 MT 220CC;Particular;5200000;true;220;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER 100M MT 100CC;Particular;4200000;false;102;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 220 SS MT 220CC;Particular;6900000;true;220;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER [3] 150 ST MT 150CC;Particular;5100000;false;149;2;GSL
BAJAJ;MOTOCICLETA;PULSAR UG PRO MT 180CC;Particular;6300000;false;179;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER 150F MT 150CC;Particular;4000000;false;149;2;GSL
BAJAJ;MOTOCICLETA;PLATINO 110 MT 110CC;Particular;3600000;false;102;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 150 NS MT 150CC;Particular;6700000;false;149;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 200 AS MT 200CC;Particular;7000000;false;200;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 150 AS MT 150CC;Particular;6200000;false;149;2;GSL
BAJAJ;MOTOCICLETA;PULSAR SPEED MT 135CC;Particular;4500000;false;135;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 150 MT 150CC;Particular;6600000;false;149;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 160 NS MT 160CC;Particular;6300000;false;160;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 200 NS FI MT 200CC;Particular;11800000;false;200;2;GSL
BAJAJ;MOTOCICLETA;DOMINAR 400 MT 400CC;Particular;12500000;false;373;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER [3] 125 ST-R MT 125CC;Particular;6000000;false;125;2;GSL
BAJAJ;MOTOCICLETA;V12 125 MT 125CC;Particular;4000000;false;125;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER [2] UG MT 125CC;Particular;4500000;false;124;2;GSL
BAJAJ;MOTOCICLETA;PLATINO 125 DRL MT 125CC;Particular;4900000;false;124;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 160 NS TWIN DISC MT 160CC;Particular;7000000;false;160;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 125 NS MT 125CC;Particular;6500000;false;124;2;GSL
BAJAJ;MOTOCICLETA;BOXER S MT 100CC;Particular;4800000;false;99;2;GSL
BAJAJ;MOTOCICLETA;PLATINO 110 DRL MT 110CC;Particular;4100000;false;102;2;GSL
BAJAJ;MOTOCICLETA;DISCOVER [2] UG CBS MT 125CC;Particular;5000000;false;124;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 160 NS FI MT 160CC;Particular;8800000;false;160;2;GSL
BAJAJ;MOTOCICLETA;DOMINAR 400 UG MT 400CC;Particular;16800000;false;373;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 200 NS FI STD MT 200CC;Particular;9700000;false;200;2;GSL
BAJAJ;MOTOCICLETA;PULSAR GT MT 180CC;Particular;6900000;false;178;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 150 R MT 150CC;Particular;7000000;false;149;2;GSL
BAJAJ;MOTOCICLETA;BOXER CT100 KS MT 100CC;Particular;4600000;false;102;2;GSL
BAJAJ;MOTOCICLETA;BOXER CT100 ES MT 100CC;Particular;4900000;false;102;2;GSL
BAJAJ;MOTOCICLETA;BOXER CT100 ES TITANIUM MT 100CC;Particular;4500000;false;102;2;GSL
BAJAJ;MOTOCICLETA;BOXER CT125 ES MT 125CC;Particular;5700000;false;124;2;GSL
BAJAJ;MOTOCICLETA;DOMINAR D MT 250CC;Particular;13500000;false;249;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 180 FI MT 180CC;Particular;7600000;false;179;2;GSL
BAJAJ;MOTOCICLETA;PLATINO 125 MT 115CC;Particular;5900000;false;115;2;GSL
BAJAJ;MOTOCICLETA;BAJAJ CT 125 MT 115CC;Particular;5700000;false;115;2;GSL
BAJAJ;MOTOCICLETA;PULSAR 160 NS FI ABS MT 160CC;Particular;9200000;false;160;2;GSL
AROCARPATI;AUTOMOVIL;D127 240 MT 2500CC LONA DSL;Particular;37000000;true;2500;5;DSL
AROCARPATI;AUTOMOVIL;240 13 PSJ MT 2500CC TAXI;Publico;20600000;true;2500;13;GSL
AROCARPATI;AUTOMOVIL;240 240 MT 2500CC GAS;Particular;40000000;true;2500;5;GSL
AROCARPATI;AUTOMOVIL;244 244 MT 2700CC;Particular;44000000;true;2660;5;GSL
AROCARPATI;AUTOMOVIL;243 4X4 MT 3100CC 3P DSL;Particular;25600000;true;1600;5;DSL
AROCARPATI;AUTOMOVIL;324 TDX MT 2700CC DSL;Particular;60400000;true;2700;5;DSL
ASIA;AUTOMOVIL;ROCSTA I MT 1800CC 4X4 LONA;Particular;36400000;true;1800;5;GSL
ASIA;AUTOMOVIL;ROCSTA I MT 1800CC 4X4 CAB;Particular;38200000;true;1800;5;GSL
ASIA;AUTOMOVIL;ROCSTA II MT 2200CC 4X4 CAB DSL;Particular;39400000;true;2200;5;DSL
ASIA;AUTOMOVIL;TOWNER PANEL MT 800CC;Particular;18300000;true;800;2;GSL
ASIA;AUTOMOVIL;TOWNER TOWNER MT 1500CC GSL;Particular;19800000;true;1500;2;GSL
ASIA;CAMION;COSMOS COSMOS MT 5000CC DSL 4X2;Publico;152400000;true;5000;31;DSL
ASIA;CAMION;CITY AM 973 MT 5500CC DSL 4X2;Publico;67200000;true;5500;30;DSL
ASIA;CAMION;COMBI AM 825 MT 4100CC DSL 4X2 [INT];Publico;42900000;true;4052;20;DSL
ASIA;CAMION;HI TOPIC AM 715 MT 2700CC DSL 4X2;Publico;21500000;true;2700;19;DSL
ASIA;AUTOMOVIL;TOWNER DLX MT 800CC MINIVAN;Particular;19800000;true;800;8;GSL
ASIA;AUTOMOVIL;HI TOPIC STD MT 2700CC DSL;Particular;55000000;true;2700;15;DSL
AUDI;AUTOMOVIL;CABRIOLET B4 2.8 V6 MT 2800CC 12V;Particular;109600000;true;2771;4;GSL
AUDI;AUTOMOVIL;CABRIOLET B4 2.8 V6 AT 2800CC 12V;Particular;115300000;true;2771;4;GSL
AUDI;AUTOMOVIL;A4 B6 3.0 CABRIOLET MT 3000CC;Particular;119100000;true;2976;4;GSL
AUDI;AUTOMOVIL;A4 B6 3.0 CABRIOLET TP 3000CC;Particular;125400000;true;2976;4;GSL
AUDI;AUTOMOVIL;TT 8N 1.8T ROADSTER QUATTRO MT 1800CC T;Particular;144800000;true;1781;2;GSL
AUDI;AUTOMOVIL;TT 8J 2.0 TFSI ROADSTER S-TRONIC TP 2000CC T;Particular;146300000;true;1984;2;GSL
AUDI;AUTOMOVIL;A4 B7 CABRIOLET 1.8 TFSI TP 1800CC T;Particular;123100000;true;1781;5;GSL
AUDI;AUTOMOVIL;A5 CABRIOLET 2.0 TFSI MULTITRONIC TP 2000CC T;Particular;158000000;true;1984;5;GSL
AUDI;AUTOMOVIL;TT 8J 3.2 FSI ROADSTER S-TRONIC TP 3200CC;Particular;180000000;true;3189;2;GSL
AUDI;AUTOMOVIL;A5 CABRIOLET MULTITRONIC COMFORT TP 1800CC T;Particular;127900000;true;1798;5;GSL
AUDI;AUTOMOVIL;R8 4.2 FSI QUATTRO Spyder TP 4200CC V8;Particular;479900000;true;4163;2;GSL
AUDI;AUTOMOVIL;A5 B8 [FL] CABRIOLET 2.0 TFSI QUATTRO TP 2000CC T;Particular;298200000;true;1984;4;GSL
AUDI;AUTOMOVIL;TT 8J 2.0 TFSI ROADSTER S-LINE TP 2000CC T;Particular;157700000;true;1984;2;GSL
AUDI;AUTOMOVIL;A5 B8 [FL] CABRIOLET 1.8 TFSI TP 1800CC T;Particular;169900000;true;1798;5;GSL
AUDI;AUTOMOVIL;TT 8S 2.0 TFSI ROADSTER SPORT S-TRONIC TP 2000CC T;Particular;176900000;true;1984;2;GSL
AUDI;AUTOMOVIL;A5 F5 CABRIO 2.0 TFSI PROGRESSIVE QUATTRO TP 2000CC T TC;Particular;198900000;true;1984;4;GSL
AUDI;AUTOMOVIL;A5 F5 CABRIO 2.0 TFSI ATTRACTION TP 2000CC T TC;Particular;168900000;true;1984;4;GSL
AUDI;AUTOMOVIL;TT RS 8S 2.5 TFSI ROADSTER QUATTRO TP 2500CC T;Particular;313100000;true;2480;2;GSL
AUDI;AUTOMOVIL;A5 F5 CABRIO 2.0 TFSI AMBITION TP 2000CC T;Particular;169900000;true;1984;4;GSL
AUDI;AUTOMOVIL;R8 [2] 5.2 FSI QUATTRO Spyder Performance TP 5200CC V10;Particular;949800000;true;5204;2;GSL
AUDI;AUTOMOVIL;A3 8L 1.8 COUPE MT 1800CC 3P;Particular;63700000;true;1781;5;GSL
AUDI;AUTOMOVIL;A3 8L 1.8 COUPE AT 1800CC 3P;Particular;67000000;true;1781;5;GSL
AUDI;AUTOMOVIL;S3 8L 1.8T QUATTRO MT 1800CC T 3P;Particular;117000000;true;1781;5;GSL
AUDI;AUTOMOVIL;A3 8L 1.8T COUPE MT 1800CC T 3P;Particular;71000000;true;1781;5;GSL
AUDI;AUTOMOVIL;A3 8L 1.6 COUPE MT 1600CC 3P;Particular;64800000;true;1595;5;GSL
AUDI;AUTOMOVIL;TT 8N 1.8T COUPE MT 1800CC T;Particular;117400000;true;1781;4;GSL
AUDI;AUTOMOVIL;A3 8L 1.8T HB MT 1800CC T 5P;Particular;76300000;true;1781;5;GSL
AUDI;AUTOMOVIL;A3 8L 1.6 HB AT 1600CC;Particular;72800000;true;1595;5;GSL
AUDI;AUTOMOVIL;A3 8L 1.6 HB MT 1600CC 5P;Particular;68900000;true;1595;5;GSL
AUDI;AUTOMOVIL;A3 8L 1.8T HB AT 1800CC T 5P;Particular;80300000;true;1781;5;GSL
AUDI;AUTOMOVIL;A3 8L 1.8T COUPE AT 1800CC T 3P;Particular;74500000;true;1781;5;GSL
AUDI;AUTOMOVIL;TT 8N 1.8T COUPE AT 1800CC T;Particular;123200000;true;1781;4;GSL
AUDI;AUTOMOVIL;A3 8L 1.8T HB [180 HP] MT 1800CC T 5P;Particular;83900000;true;1781;5;GSL
AUDI;AUTOMOVIL;A3 8P SPORTBACK 2.0 FSI TP 2000CC 5P;Particular;87500000;true;1984;5;GSL
AUDI;AUTOMOVIL;A3 8P SPORTBACK 1.6 AT 1600CC 5P;Particular;68000000;true;1595;5;GSL
AUDI;AUTOMOVIL;A3 8P SPORTBACK 1.6 MT 1600CC 5P;Particular;64900000;true;1595;5;GSL
AUDI;AUTOMOVIL;A3 8P SPORTBACK 2.0 FSI MT 2000CC 5P CT;Particular;83100000;true;1984;5;GSL
AUDI;AUTOMOVIL;TT 8N 1.8T COUPE QUATTRO MT 1800CC T;Particular;135100000;true;1781;4;GSL
AUDI;AUTOMOVIL;A3 8P SPORTBACK 2.0 FSI MT 2000CC 5P;Particular;81400000;true;1984;5;GSL
AUDI;AUTOMOVIL;A3 8P COUPE S-TRONIC QUATTRO TP 3200CC 3P;Particular;112100000;true;3189;5;GSL
AUDI;AUTOMOVIL;A3 8P SPORTBACK S-TRONIC QUATTRO TP 3200CC 5P;Particular;114300000;true;3189;5;GSL
AUDI;AUTOMOVIL;TT 8J 3.2 FSI COUPE S-TRONIC TP 3200CC;Particular;155600000;true;3189;4;GSL
AUDI;AUTOMOVIL;A3 8P COUPE 2.0 FSI TP 2000CC 3P;Particular;85000000;true;1984;5;GSL
AUDI;AUTOMOVIL;TT 8J 2.0 TFSI COUPE MT 2000CC T;Particular;115800000;true;1984;4;GSL
AUDI;AUTOMOVIL;TT 8J 2.0 TFSI COUPE S-TRONIC TP 2000CC T;Particular;128000000;true;1984;4;GSL
AUDI;AUTOMOVIL;A3 8P 1.6 COUPE MT 1600CC 3P;Particular;60700000;true;1595;5;GSL
AUDI;AUTOMOVIL;A3 8P SPORTBACK 2.0 TFSI TP 2000CC T 5P;Particular;95500000;true;1984;5;GSL
AUDI;AUTOMOVIL;A3 8P COUPE 2.0 FSI MT 2000CC 3P;Particular;80400000;true;1984;5;GSL
AUDI;AUTOMOVIL;A3 8P COUPE 1.8 TFSI MT 1800CC T;Particular;77600000;true;1798;5;GSL
AUDI;AUTOMOVIL;A3 8P COUPE 1.8 TFSI TP 1800CC T;Particular;81700000;true;1798;5;GSL
AUDI;AUTOMOVIL;A3 8P SPORTBACK 1.8 TFSI MT 1800CC T;Particular;81500000;true;1798;5;GSL
AUDI;AUTOMOVIL;A3 8P SPORTBACK 1.8 TFSI TP 1800CC T;Particular;85500000;true;1798;5;GSL
AUDI;AUTOMOVIL;A3 8P COUPE 2.0 TFSI MT 2000CC T;Particular;87500000;true;1984;5;GSL
AUDI;AUTOMOVIL;TTS 8J 2.0 TFSI COUPE S-TRONIC TP 2000CC T;Particular;185300000;true;1984;5;GSL
AUDI;AUTOMOVIL;A5 SPORTBACK 2.0 TFSI QUATTRO TP 2000CC T;Particular;123600000;true;1984;5;GSL
AUDI;AUTOMOVIL;R8 4.2 FSI QUATTRO Rtronic TP 4200CC V8;Particular;419200000;true;4163;2;GSL
AUDI;AUTOMOVIL;S3 8P 2.0 TFSI S-TRONIC QUATTRO [2] TP 2000CC T 3P CT;Particular;99900000;true;1984;5;GSL
AUDI;AUTOMOVIL;A1 8X 1.4 TFSI ATTRACTION TP 1400CC T;Particular;65000000;true;1390;5;GSL
AUDI;AUTOMOVIL;A5 SPORTBACK 1.8 TFSI MULTITRONIC TP 1800CC T;Particular;115200000;true;1798;2;GSL
AUDI;AUTOMOVIL;A7 3.0 TFSI S-TRONIC LUXURY TP 3000CC;Particular;371000000;true;2995;5;GSL
AUDI;AUTOMOVIL;A7 3.0 TFSI S-TRONIC ELEGANCE TP 3000CC;Particular;317000000;true;2995;5;GSL
AUDI;AUTOMOVIL;A1 8X 1.4 TFSI AMBITION TP 1400CC T;Particular;74900000;true;1390;5;GSL
AUDI;AUTOMOVIL;A1 8X 1.4 TFSI LUXURY TP 1400CC T CT TC;Particular;80000000;true;1390;5;GSL
AUDI;AUTOMOVIL;A3 8P COUPE 2.0 TFSI TP 2000CC T;Particular;91200000;true;1984;5;GSL
AUDI;AUTOMOVIL;A3 8P SPORTBACK 1.4 TFSI TP 1400CC T;Particular;80000000;true;1390;5;GSL
AUDI;AUTOMOVIL;A1 SPORTBACK 8X 1.4 TFSI AMBITION PLUS TP 1400CC T CT;Particular;81900000;true;1390;5;GSL
AUDI;AUTOMOVIL;TT 8J 2.0 TFSI COUPE S-LINE MT 2000CC T;Particular;122300000;true;1984;4;GSL
AUDI;AUTOMOVIL;R8 4.2 FSI QUATTRO Stronic TP 4200CC V8;Particular;431400000;true;4163;2;GSL
AUDI;AUTOMOVIL;A3 8V SPORTBACK AMBITION TP 1800CC T;Particular;112900000;true;1798;5;GSL
AUDI;AUTOMOVIL;A3 8V SPORTBACK ATTRACTION MT 1200CC T;Particular;72600000;true;1197;5;GSL
AUDI;AUTOMOVIL;A3 8V COUPE ATTRACTION TP 1800CC T;Particular;97500000;true;1798;5;GSL
AUDI;AUTOMOVIL;TT 8J 1.8 TFSI COUPE SPORT MT 1800CC T;Particular;115600000;true;1798;4;GSL
AUDI;AUTOMOVIL;A3 8V SPORTBACK ATTRACTION TP 1800CC T;Particular;99900000;true;1798;5;GSL
AUDI;AUTOMOVIL;A3 8V COUPE ATTRACTION MT 1200CC T;Particular;81700000;true;1197;5;GSL
AUDI;AUTOMOVIL;A3 8V COUPE ATTRACTION TP 1200CC T;Particular;89900000;true;1197;5;GSL
